phrase_number,composition_number,start_measure,cadence_role_cantz,cadence_alter,cadence_final_tone,stop_measure,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
DC0625.8: Dont nous serons plus contentz qu'eulx.,DC0625: Si je n'avois de fermeté,19,S,,G,20,T,Authentic,A,None,Authentic,None,G
"DC0625.6: Ami perfaict plus que les dieux,",DC0625: Si je n'avois de fermeté,13,S,,A,14,T,Authentic,D,G,Plagal,Authentic,G
"DC0625.5: Mais ne fault point que doubte on face,",DC0625: Si je n'avois de fermeté,10,None,,D,10,None,Plagal,G,A,Authentic,Authentic,G
"DC0625.2: Non plus que j'ay de bonne grace,",DC0625: Si je n'avois de fermeté,6,S,,G,7,T,Authentic,C,D,Authentic,Plagal,G
"DC0625.1: Si je n'avois de fermeté,",DC0625: Si je n'avois de fermeté,2,T,"Displaced, Inverted, Evaded",C,3,Ct,Authentic,None,G,None,Authentic,G
DC0624.10: Par ton amour si fais cesser la mienne.,DC0624: Si tu as veu que pour ton feu estaindre,42,S,,G,43,T,Authentic,C,None,Authentic,None,G
"DC0624.8: C'est pour t'aimer pour Dieu il t'en souvienne,",DC0624: Si tu as veu que pour ton feu estaindre,31,T,"Displaced, Inverted, Evaded",C,32,Ct,Authentic,G,G,Plagal,Authentic,G
"DC0624.6: Qui ne penetre au plus profond de l'ame,",DC0624: Si tu as veu que pour ton feu estaindre,21,None,,G,21,None,Plagal,C,C,Authentic,Authentic,G
"DC0624.2: Je me suis mis comme ami en debvoir,",DC0624: Si tu as veu que pour ton feu estaindre,9,T,"Inverted, Evaded",C,10,S,Authentic,None,G,None,Plagal,G
DC0623.8: Mais la vostre est par peur estaincte.,DC0623: Vous souvient-il ; ma mignonne,29,S,,G,30,T,Authentic,C,None,Authentic,None,G
"DC0623.6: Que m’avez desrobbé ma crainte,",DC0623: Vous souvient-il ; ma mignonne,20,S,,C,21,T,Authentic,G,G,Authentic,Authentic,G
"DC0623.2: Qu’un jour me reprouchiez par jeu,",DC0623: Vous souvient-il ; ma mignonne,6,S,,G,7,T,Authentic,D,C,Plagal,Authentic,G
"DC0623.1: Vous souvient il point ma mignonne,",DC0623: Vous souvient-il ; ma mignonne,3,None,,D,4,None,Plagal,None,G,None,Authentic,G
DC0622.8: Et pour servir on hait la liberté.,DC0622: Je suys a vous mais sçavez vous comment,36,S,,G,37,T,Authentic,G,None,Authentic,None,G
"DC0622.2: Comme celuy qui tout entier est vostre,",DC0622: Je suys a vous mais sçavez vous comment,8,S,,G,9,T,Authentic,None,G,None,Authentic,G
DC0621.7: Car n’avez pas la lance qu’il me fault.,DC0621: Un gay berger prioit une bergiere,48,S,,G,49,T,Authentic,G,None,Authentic,None,G
DC0621.5: Ne pensez pas que ferois tel deffault?,DC0621: Un gay berger prioit une bergiere,31,None,,G,32,None,Plagal,G,G,Authentic,Authentic,G
"DC0621.4: Votre parler je trouve deshonneste,",DC0621: Un gay berger prioit une bergiere,26,S,,G,27,T,Authentic,G,G,Authentic,Plagal,G
"DC0621.2: En luy faisant du jeu d’aimer requeste,",DC0621: Un gay berger prioit une bergiere,13,S,,G,14,T,Authentic,G,G,Authentic,Authentic,G
"DC0621.1: Un gay bergier prioit une bergiere,",DC0621: Un gay berger prioit une bergiere,6,S,,G,7,T,Authentic,None,G,None,Authentic,G
DC0620.8: C’est par Dieu faulte de cognoistre.,DC0620: En amour y a du plaisir,24,S,,F,25,T,Authentic,C,None,Plagal,None,F
"DC0620.7: Quicter le plaisir pour la peine,",DC0620: En amour y a du plaisir,19,None,,C,19,None,Plagal,D,F+F,Plagal,Authentic+Authentic,F
"DC0620.6: Que l’un sans l’aultre ne puisse estre,",DC0620: En amour y a du plaisir,15,None,,D,16,None,Plagal,None,C,None,Plagal,F
"DC0619.2: En ce joli verd mois de may,",DC0619: Il n'est que d'estre sur l'herbette,11,S,,F,12,T,Authentic,None,G,None,Authentic,F
DC0618.8: Qui n'en est pas morte pourtant.,DC0618: Pour avoir fille en mariage,41,S,,F,42,T,Authentic,F,None,Authentic,None,F
"DC0618.7: A douze ans le fit ma cousine,",DC0618: Pour avoir fille en mariage,33,None,,D,34,None,Plagal,D,F,Plagal,Authentic,F
"DC0618.6: La larme à l'œil en soupirant,",DC0618: Pour avoir fille en mariage,29,None,,D,30,None,Plagal,A,D,Plagal,Plagal,F
"DC0618.5: Et demi dict la fille fine,",DC0618: Pour avoir fille en mariage,21,None,,A,22,None,Plagal,F,D,Authentic,Plagal,F
"DC0618.2: Vint voir un galland sa voisine,",DC0618: Pour avoir fille en mariage,14,S,,F,15,T,Authentic,A,A,Authentic,Plagal,F
"DC0618.1: Pour avoir fille en mariage,",DC0618: Pour avoir fille en mariage,7,S,,F,8,T,Authentic,F,A,Authentic,Authentic,F
DC0617.8: Revivre faict sans que mort rien puisse en ce.,DC0617: Si le pouvoir de Diane a esté,26,S,,F,27,T,Authentic,E+C,None,Phrygian+Authentic,None,F
"DC0617.7: Car ton aspec plaisant, et gratieux,",DC0617: Si le pouvoir de Diane a esté,21,S,"Displaced, Inverted, Evaded",E,22,B,Phrygian,A,F+F,Phrygian,Authentic+Authentic,F
"DC0617.6: Et en amour trop plus grande puissance,",DC0617: Si le pouvoir de Diane a esté,17,S,,A,18,T,Phrygian,F,E+C,Authentic,Phrygian+Authentic,F
