composition_number,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,final_cadence,piece_length
DC0312: Faictes si vous plaist vostre aumosne,Authentic+Plagal,None,None,None,None,None,None,None,None,None,S+None,None,None,None,None,None,None,None,None,None,None+None,None,None,None,None,None,None,None,None,None,G+D,None,None,None,None,None,None,None,None,None,T+None,None,None,None,None,None,None,None,None,None,D,2
DC0903: Si l'amyitié n'est que conjonction,Authentic+Authentic,Authentic+CadInCad,CadInCad+Phrygian,None,None,None,None,None,None,None,S+S,S+T,T+B,None,None,None,None,None,None,None,None+None,"None+Displaced, Incomplete, Evaded","Displaced, Incomplete, Evaded+Displaced, Inverted",None,None,None,None,None,None,None,A+D,D+D,D+A,None,None,None,None,None,None,None,T+T,T+Ct,Ct+Ct,None,None,None,None,None,None,None,A,4
DC0219: Si pour t'avoir tant loyaument aymée,Authentic+Authentic,Authentic+Plagal,Plagal+Phrygian,Phrygian+Authentic,None,None,None,None,None,None,S+S,S+None,None+B,B+S,None,None,None,None,None,None,Incomplete+None,None+None,"None+Displaced, Inverted, Doubtful","Displaced, Inverted, Doubtful+None",None,None,None,None,None,None,C+F,F+F,F+D,D+F,None,None,None,None,None,None,None+T,T+None,None+Ct,Ct+T,None,None,None,None,None,None,F,5
"DC0102: Venons au poinct, ma dame s'il vous plaist",Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,S+S,S+S,S+S,S+T,T+S,S+S,S+S,None,None,None,None+None,None+None,None+None,None+Inverted,Inverted+None,None+None,None+None,None,None,None,D+A,A+D,D+F,F+F,F+D,D+A,A+D,None,None,None,T+T,T+T,T+T,T+S,S+T,T+T,T+T,None,None,None,D,8
DC0919: Si j'estois mariée à mon amy,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,None,None,S+S,S+S,S+Ct,Ct+S,None,None,None,None,None,None,Evaded+None,None+None,"None+Displaced, Evaded","Displaced, Evaded+None",None,None,None,None,None,None,G+G,G+G,G+D,D+G,None,None,None,None,None,None,T+T,T+T,T+B,B+T,None,None,None,None,None,None,G,5
DC0702: Je suis bien aise qu'elle est belle,Authentic+CadInCad,CadInCad+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,None,S+S,S+S,S+None,None+S,None,None,None,None,None,None,None+None,None+None,None+None,None+None,None,None,None,None,None,None,A+D,D+A,A+A,A+D,None,None,None,None,None,None,T+T,T+T,T+None,None+T,None,None,None,None,None,None,D,5
DC0715: Or perdz-je celle en qui gist tout mon bien,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,S+S,S+S,S+Ct,Ct+S,S+S,None,None,None,None,None,None+None,None+None,"None+Displaced, Evaded","Displaced, Evaded+None",None+None,None,None,None,None,None,B-flat+G,G+D,D+D,D+C,C+G,None,None,None,None,None,T+T,T+T,T+T,T+T,T+T,None,None,None,None,None,G,6
DC0918: L'aveuglé Dieu qui partout vole nud,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,S+,+S,S+T,T+S,None,None,None,None,None,None,"Evaded, Doubtful+None",None+None,"None+Inverted, Evaded","Inverted, Evaded+Displaced",None,None,None,None,None,None,F+A,A+G,G+C,C+B-flat,None,None,None,None,None,None,None+,+T,T+S,S+B,None,None,None,None,None,None,B-flat,5
DC0124: Je sens l'affection/ Qui à moy se vient rendre,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,S+S,S+S,S+Ct,Ct+S,None,None,None,None,None,None,None+None,None+None,"None+Displaced, Incomplete","Displaced, Incomplete+None",None,None,None,None,None,None,G+A,A+G,G+G,G+G,None,None,None,None,None,None,T+T,T+T,T+B,B+T,None,None,None,None,None,None,G,5
"DC0604: Où est ce temps, dictes, mademoiselle",Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,S+S,S+S,S+None,None+S,S+S,S+S,None,None,None,None,None+None,None+None,None+None,None+Evaded,Evaded+None,None+None,None,None,None,None,D+D,D+D,D+D,D+A,A+G,G+G,None,None,None,None,T+T,T+T,T+None,None+T,T+T,T+T,None,None,None,None,G,7
DC0505: Si vous aviez comme moy faim,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,S+S,S+S,S+S,S+S,S+Ct,Ct+S,None,None,None,None,None+None,None+None,None+None,None+None,None+Displaced,Displaced+None,None,None,None,None,G+G,G+G,G+B-flat,B-flat+D,D+D,D+G,None,None,None,None,T+T,T+T,T+T,T+T,T+B,B+T,None,None,None,None,D,7
